slug,机型,原始字幕文章,旧版引用,字幕索引路径,B站链接,BV号,创作者,状态
leica-r6-r6-2,徕卡 R6 / R6.2,16个品牌83台相机！手动胶片单反相机终极推荐,../01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,https://www.bilibili.com/video/BV1QydMBSEPa/,BV1QydMBSEPa,大耳蟹,已恢复
ricoh-gr1s,理光 GR1s,【口袋胶片机成像排行榜】我花了80000元,../01_articles/【口袋胶片机成像排行榜】我花了80000元.md,01_articles/【口袋胶片机成像排行榜】我花了80000元.md,https://www.bilibili.com/video/BV1Uj411Z7E9/,BV1Uj411Z7E9,德松Desong,已恢复
ricoh-gr1s,理光 GR1s,胶片时代十大神级便携相机,../01_articles/胶片时代十大神级便携相机.md,,,,,字幕索引未匹配
ricoh-gr21,理光 GR21,【口袋胶片机成像排行榜】我花了80000元,../01_articles/【口袋胶片机成像排行榜】我花了80000元.md,01_articles/【口袋胶片机成像排行榜】我花了80000元.md,https://www.bilibili.com/video/BV1Uj411Z7E9/,BV1Uj411Z7E9,德松Desong,已恢复
ricoh-kr-5,理光 KR-5,16个品牌83台相机！手动胶片单反相机终极推荐,../01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,https://www.bilibili.com/video/BV1QydMBSEPa/,BV1QydMBSEPa,大耳蟹,已恢复
ricoh-xr-2,理光 XR-2,16个品牌83台相机！手动胶片单反相机终极推荐,../01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,https://www.bilibili.com/video/BV1QydMBSEPa/,BV1QydMBSEPa,大耳蟹,已恢复
rollei-3-5f,禄来 3.5F,张有伯全面指南,../01_articles/张有伯全面指南.md,,,,,字幕索引未匹配
rollei-35,禄来 35,萌大统领,../01_articles/萌大统领.md,,,,,字幕索引未匹配
rollei-35,禄来 35,张有伯-避雷清单,../01_articles/张有伯-避雷清单.md,,,,,字幕索引未匹配
rollei-sl35-sl35e,禄来 SL35 / SL35E,16个品牌83台相机！手动胶片单反相机终极推荐,../01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,01_articles/16个品牌83台相机！手动胶片单反相机终极推荐.md,https://www.bilibili.com/video/BV1QydMBSEPa/,BV1QydMBSEPa,大耳蟹,已恢复
mamiya-7,玛米亚 7,胶片摄影入门到进阶全面指南！,../01_articles/胶片摄影入门到进阶全面指南！.md,,,,,字幕索引未匹配
mamiya-7,玛米亚 7,如何选择你的第一台胶片相机？,../01_articles/如何选择你的第一台胶片相机？.md,,,,,字幕索引未匹配
